epoch,train_loss,val_loss,val_rmse,epoch_secs
1,0.674714,0.461888,0.679439,1016.0
2,0.349799,0.287757,0.536385,1056.3
3,0.243752,0.218257,0.467119,1227.4
4,0.200193,0.191029,0.436997,3206.7
5,0.178971,0.178823,0.422816,971.7
6,0.164529,0.166589,0.408114,8084.8
7,0.154141,0.159611,0.399442,9502.5
8,0.147394,0.154176,0.392566,8410.7
9,0.142360,0.151861,0.389610,6395.1
10,0.138130,0.148774,0.385607,995.9
11,0.134553,0.147548,0.384040,6543.6
12,0.131661,0.146028,0.382073,8343.6
13,0.128896,0.145312,0.381104,8424.0
14,0.126551,0.144077,0.379499,10530.8
15,0.124814,0.143555,0.378791,8774.2
16,0.123290,0.143381,0.378554,6538.4
17,0.122052,0.141971,0.376698,8343.9
18,0.121132,0.141555,0.376125,8106.6
19,0.120638,0.141403,0.375945,6418.1
20,0.120448,0.141404,0.375934,4555.7
